,name,rating,reviews,ctype,hq,old,employees
17,Intas Pharmaceut...,4.3,(2.2k Reviews),Private,"Ahmedabad,Gujrat + 98 more",22 years old,10k-50k Employees (India)
18,Capgemini Techno...,4.1,(2.1k Reviews),Bengaluru/Bangalore + 23 more,,,
19,Virtusa Consulti...,3.8,(2.2k Reviews),Private,"Southborough,Massachusetts + 23 more",26 years old,5k-10k Employees (India)
20,Hindustan Coca C...,4.4,(2.1k Reviews),Private,Bangalore + 168 more,25 years old,5k-10k Employees (India)
21,Automatic Data P...,4.2,(2.1k Reviews),New Jersey + 11 more,73 years old,1k-5k Employees (India),
22,Optum,4.1,(2.1k Reviews),Private,Minnesota + 20 more,45 years old,10k-50k Employees (India)
23,Swiggy,4.1,(2.4k Reviews),Private,"Bangalore,Karnataka + 137 more",8 years old,10k-50k Employees (India)
24,Simplex Infrastr...,3.7,(2.3k Reviews),Public,"Kolkata,West Bengal + 124 more",98 years old,1k-5k Employees (India)
25,VE Commercial Ve...,4.0,(2.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 104 more",14 years old,1k-5k Employees (India)
26,Atos,3.9,(8k Reviews),Private,"Vilnius,Vilniaus Apskritis + 31 more",25 years old,10k-50k Employees (India)
27,Varun Beverages,4.0,(2.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 196 more",27 years old,10k-50k Employees (India)
28,Macleods Pharmac...,3.9,(2.1k Reviews),Public,"Mumbai,Maharashtra + 76 more",36 years old,5k-10k Employees (India)
29,Wipro Enterprise...,3.9,(5.1k Reviews),Bangalore + 66 more,77 years old,1 Lakh+ Employees (India),
0,NatWest Group,4.1,(2.2k Reviews),Government,Gurgaon/Gurugram + 18 more,10k-50k Employees (India),
1,Muthoot Group,3.6,(4.7k Reviews),Public,"Wedel,Schleswig-holstein + 330 more",135 years old,1k-5k Employees (India)
2,Gati kwe,4.2,(2.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 144 more",10 years old,5k-10k Employees (India)
3,Indian Air Force,4.6,(2k Reviews),Private,"New Delhi,Delhi + 98 more",90 years old,1 Lakh+ Employees (India)
4,Alembic Pharmace...,4.1,(2k Reviews),Public,"Vadodara/Baroda,Gujrat + 118 more",115 years old,10k-50k Employees (India)
5,Randstad,4.1,(2.1k Reviews),Private,"Chennai,Tamil Nadu + 204 more",30 years old,1k-5k Employees (India)
6,American Express,4.4,(2k Reviews),Private,"New York City,New York + 35 more",172 years old,10k-50k Employees (India)
7,Shoppers Stop,4.3,(2k Reviews),Public,"Mumbai,Maharashtra + 56 more",31 years old,5k-10k Employees (India)
8,Bel,4.2,(2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 34 more",68 years old,5k-10k Employees (India)
