,name,rating,reviews,ctype,hq,old,employees
5,Telecomone Teles...,3.9,(67 Reviews),Private,Bengaluru + 16 more,16 years old,501-1k Employees (Global)
6,Omega Hospitals,4.4,(67 Reviews),Hyderabad + 7 more,12 years old,201-500 Employees (India),
7,Gyansys Infotech,3.1,(67 Reviews),Private,Carmel + 3 more,17 years old,201-500 Employees (India)
8,Tenpath,3.8,(67 Reviews),Private,"Oak Brook,Illinois + 1 more",20 years old,501-1k Employees (India)
9,Protiviti Consul...,3.4,(67 Reviews),Private,"Menlo Park,California + 6 more",20 years old,1k-5k Employees (India)
10,Apcotex Industri...,3.7,(67 Reviews),Public,"Mumbai,Maharashtra + 7 more",42 years old,201-500 Employees (India)
11,Faces Cosmetics,4.4,(67 Reviews),"Gurgaon,Haryana + 14 more",48 years old,51-200 Employees (India),
12,Rotana Hotels,4.2,(67 Reviews),Abu Dhabi + 11 more,30 years old,10k-50k Employees (Global),
13,Vestian Global W...,3.3,(67 Reviews),Private,Chicago + 5 more,12 years old,51-200 Employees (India)
14,Ghaziabad Precis...,3.8,(67 Reviews),Ghaziabad + 6 more,34 years old,501-1k Employees (India),
15,Action Tesa,3.8,(67 Reviews),New Delhi + 8 more,52 years old,501-1k Employees (India),
16,SOGEFI,3.0,(67 Reviews),Milan + 3 more,42 years old,51-200 Employees (India),
17,Mahabal Group of...,3.6,(67 Reviews),Sangli + 3 more,57 years old,51-200 Employees (India),
18,Farnek Averial,4.1,(67 Reviews),Dubai + 3 more,42 years old,5k-10k Employees (Global),
19,Samarth Lifestyl...,3.8,(67 Reviews),Private,Jaipur + 11 more,27 years old,51-200 Employees (India)
20,Futurewins Tradi...,4.8,(67 Reviews),Private,Ernakulam + 3 more,12 years old,51-200 Employees (Global)
21,Qbss,3.8,(67 Reviews),1k-5k Employees (India),,,
22,Avanze Technolog...,3.0,(67 Reviews),Private,Florida + 2 more,7 years old,501-1k Employees (India)
23,Mando Softtech,4.2,(67 Reviews),Gurugram,17 years old,501-1k Employees (India),
24,KMC HOSPITAL,4.2,(67 Reviews),Private,"Coimbatore,Tamil Nadu + 12 more",40 years old,501-1k Employees (India)
25,Edujobs Academy,4.1,(67 Reviews),Kolkata + 18 more,9 years old,51-200 Employees (India),
26,Tradologie.com,3.6,(67 Reviews),"Noida,Uttar Pradesh",6 years old,51-200 Employees (India),
27,Exel Rubber,4.1,(67 Reviews),Public,Hyderabad + 2 more,32 years old,51-200 Employees (India)
28,VISPL,4.1,(67 Reviews),"Noida,Uttar Pradesh + 4 more",14 years old,10k-50k Employees (India),
29,Erection Instrum...,4.2,(67 Reviews),Private,New Delhi + 10 more,21 years old,201-500 Employees (Global)
0,Wellness Forever...,4.2,(67 Reviews),Mumbai + 12 more,1k-5k Employees (India),,
1,Mechanical Contr...,3.9,(67 Reviews),Manama + 4 more,50 years old,1k-5k Employees (Global),
2,Farbe Firma,4.5,(67 Reviews),Private,"Mumbai,Maharashtra",5 years old,201-500 Employees (India)
3,MODI HYUNDAI,4.1,(67 Reviews),Private,Mumbai + 4 more,13 years old,501-1k Employees (Global)
4,Belstar Microfin...,4.3,(67 Reviews),Chennai + 37 more,1k-5k Employees (India),,
5,Marelli Motherso...,3.9,(67 Reviews),Pune + 6 more,11-50 Employees (India),,
6,ADNOC Distributi...,3.6,(67 Reviews),Dubai + 6 more,49 years old,1 Lakh+ Employees (India),
7,Aashman Foundati...,3.6,(67 Reviews),Panchkula + 12 more,1k-5k Employees (India),,
8,Prominent Consul...,4.8,(67 Reviews),"Vadodara,Gujarat + 2 more",15 years old,11-50 Employees (India),
9,DECON,3.1,(67 Reviews),Gurugram + 17 more,29 years old,11-50 Employees (India),
10,Al Maha Foods In...,3.9,(67 Reviews),51-200 Employees (India),,,
11,Jawaharlal Nehru...,4.2,(67 Reviews),Private,"Ajmer,Rajasthan + 9 more",57 years old,201-500 Employees (Global)
12,Fertilisers and ...,4.1,(67 Reviews),Kochi + 1 more,79 years old,501-1k Employees (India),
13,Dd Motors,3.8,(67 Reviews),Private,New Delhi + 2 more,26 years old,1k-5k Employees (Global)
14,Optimus Global S...,4.3,(67 Reviews),Public,"Chennai,Tamil Nadu + 3 more",20 years old,51-200 Employees (India)
15,Go Colors,4.3,(67 Reviews),"Chennai,Tamil Nadu + 18 more",12 years old,51-200 Employees (India),
16,Superon Schweiss...,4.1,(67 Reviews),Public,Gurgaon + 3 more,28 years old,51-200 Employees (India)
17,Bansal Wire Indu...,3.7,(67 Reviews),Private,New Delhi + 2 more,84 years old,201-500 Employees (India)
18,Dsm Shared Servi...,4.3,(67 Reviews),Private,Heerlen,120 years old,201-500 Employees (India)
19,Vidal Health Ins...,4.2,(67 Reviews),"Bangalore,Karnataka + 9 more",201-500 Employees (India),,
20,Virchow Laborato...,3.9,(67 Reviews),Hyderabad + 3 more,41 years old,201-500 Employees (India),
21,M Intergraph Sys...,4.1,(67 Reviews),Private,New Delhi + 4 more,32 years old,201-500 Employees (India)
22,Mukand Engineers,4.0,(67 Reviews),Public,Thane + 13 more,35 years old,51-200 Employees (India)
23,Stellantis,3.4,(67 Reviews),Chennai + 5 more,1k-5k Employees (India),,
24,Mentorsity,4.6,(67 Reviews),Private,"New Delhi,Delhi + 6 more",2 years old,11-50 Employees (India)
25,Relevel,2.8,(67 Reviews),Bengaluru/Bangalore + 5 more,51-200 Employees (India),,
26,SDNA Global,4.7,(67 Reviews),Private,London + 7 more,12 years old,11-50 Employees (Global)
27,Indian Register ...,3.7,(67 Reviews),Private,"Mumbai,Maharashtra + 12 more",47 years old,501-1k Employees (India)
28,C1 India,3.8,(67 Reviews),Private,"Gurgaon/Gurugram,Haryana + 5 more",22 years old,51-200 Employees (India)
29,Rockwell Industr...,3.9,(437 Reviews),Hyderabad + 4 more,36 years old,201-500 Employees (India),
0,Meghmani Industr...,4.1,(398 Reviews),Public,Charlotte + 7 more,36 years old,1-10 Employees (India)
1,Descon,4.3,(371 Reviews),Lahore + 11 more,45 years old,51-200 Employees (India),
2,Viraaj Ventures,4.7,(303 Reviews),Noida + 3 more,11-50 Employees (India),,
3,BRG Group,3.8,(252 Reviews),Private,Kolkata + 6 more,28 years old,1k-5k Employees (Global)
4,Swastik Enterpri...,3.5,(66 Reviews),Private,Kolkata + 16 more,27 years old,11-50 Employees (India)
5,Kyocera Ctc Prec...,2.7,(66 Reviews),Private,Gurgaon + 6 more,10 years old,51-200 Employees (India)
6,Ufi Filters,3.5,(66 Reviews),Private,"Nogarole Rocca,Verona + 7 more",51 years old,201-500 Employees (India)
7,Dr. Sulaiman Al ...,3.9,(66 Reviews),Riyadh + 7 more,27 years old,,
8,Alliance India,4.1,(66 Reviews),Private,"New York City,New York + 13 more",23 years old,51-200 Employees (India)
9,Avance Consultin...,4.1,(66 Reviews),Private,"Somerset,NJ + 2 more",15 years old,51-200 Employees (India)
10,iPlaceUSA,3.9,(66 Reviews),Private,"McLean,Virginia",16 years old,501-1k Employees (India)
11,China Steel Corp...,4.3,(66 Reviews),Kaohsiung + 3 more,51 years old,51-200 Employees (India),
12,Kotak Mahindra G...,4.1,(66 Reviews),Public,"Mumbai,Maharashtra + 17 more",7 years old,501-1k Employees (India)
13,BIL Infratech,3.8,(66 Reviews),Public,Mumbai,12 years old,1k-5k Employees (Global)
14,Seco Komos Autom...,4.0,(66 Reviews),Private,Hwaseong-si + 3 more,55 years old,201-500 Employees (Global)
15,Rhydburg Pharmac...,3.4,(66 Reviews),Public,"Delhi/NCR,Delhi + 2 more",35 years old,51-200 Employees (India)
16,Jasubhai Enginee...,3.7,(66 Reviews),Private,Mumbai + 8 more,55 years old,51-200 Employees (India)
17,Ars Traffic And ...,3.3,(66 Reviews),Nassaulaan + 9 more,25 years old,51-200 Employees (India),
18,Jumbo Finvest In...,4.3,(66 Reviews),Private,Jaipur + 17 more,24 years old,501-1k Employees (India)
19,AAK KAMANI,4.3,(66 Reviews),Mumbai + 8 more,60 years old,51-200 Employees (India),
20,Tata Motors Insu...,3.7,(66 Reviews),Private,Mumbai + 28 more,14 years old,201-500 Employees (India)
21,Ascent Hr,3.6,(66 Reviews),Bengaluru + 3 more,20 years old,501-1k Employees (Global),
22,SAL STEEL,3.5,(66 Reviews),Public,"Gurgaon/Gurugram,Haryana + 3 more",19 years old,201-500 Employees (India)
23,Jubilant Motorwo...,3.7,(66 Reviews),Bengaluru + 8 more,13 years old,201-500 Employees (India),
24,Egon Zehnder Int...,3.9,(66 Reviews),Private,Zurich,58 years old,501-1k Employees (India)
25,Ambuja Realty,4.0,(66 Reviews),Private,Kolkata + 7 more,17 years old,1k-5k Employees (India)
26,Siesta Hospitali...,3.4,(66 Reviews),Private,"Bengaluru,Karnataka + 6 more",16 years old,1k-5k Employees (India)
27,BSC-C&C JV,4.2,(66 Reviews),Hyderabad + 10 more,50 years old,,
28,Komal Tex Fab,3.2,(66 Reviews),Private,Ahmedabad + 2 more,41 years old,51-200 Employees (India)
29,Deshpande Founda...,4.2,(66 Reviews),NGO/NPO,"Stoneham,Massachusetts + 7 more",26 years old,201-500 Employees (India)
0,Featherlite,3.1,(66 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",57 years old,1k-5k Employees (India)
1,BASE Educational...,4.3,(66 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",31 years old,201-500 Employees (India)
2,Unitech Machines,3.2,(66 Reviews),Private,Gurgaon + 8 more,36 years old,1k-5k Employees (India)
3,Be Well Hospital...,3.7,(66 Reviews),Private,"Chennai,Tamil Nadu + 4 more",11 years old,501-1k Employees (India)
4,iPlaceUSA,3.9,(66 Reviews),Private,"McLean,Virginia",16 years old,501-1k Employees (India)
5,Kotak Mahindra A...,4.1,(66 Reviews),Mumbai + 30 more,24 years old,1k-5k Employees (India),
6,China Steel Corp...,4.3,(66 Reviews),Kaohsiung + 3 more,51 years old,51-200 Employees (India),
7,BIL Infratech,3.8,(66 Reviews),Public,Mumbai,12 years old,1k-5k Employees (Global)
8,Kotak Mahindra G...,4.1,(66 Reviews),Public,"Mumbai,Maharashtra + 17 more",7 years old,501-1k Employees (India)
9,Alp Overseas,4.0,(66 Reviews),Gurgaon + 4 more,38 years old,201-500 Employees (India),
10,Kyocera Ctc Prec...,2.7,(66 Reviews),Private,Gurgaon + 6 more,10 years old,51-200 Employees (India)
11,Ufi Filters,3.5,(66 Reviews),Private,"Nogarole Rocca,Verona + 7 more",51 years old,201-500 Employees (India)
12,InterGlobe Enter...,3.3,(66 Reviews),Private,"Gurgaon/Gurugram,Haryana + 13 more",33 years old,201-500 Employees (India)
13,Signet Industrie...,3.7,(66 Reviews),Private,"Indore,Madhya Pradesh + 15 more",37 years old,501-1k Employees (India)
14,Egon Zehnder Int...,3.9,(66 Reviews),Private,Zurich,58 years old,501-1k Employees (India)
15,Komal Tex Fab,3.2,(66 Reviews),Private,Ahmedabad + 2 more,41 years old,51-200 Employees (India)
16,Avance Consultin...,4.1,(66 Reviews),Private,"Somerset,NJ + 2 more",15 years old,51-200 Employees (India)
17,SKDRDP,4.3,(66 Reviews),Daramasthala + 17 more,31 years old,,
18,Shemford Futuris...,4.1,(66 Reviews),Private,New Delhi + 27 more,13 years old,51-200 Employees (India)
19,City Hospital,3.9,(66 Reviews),Private,Bengaluru + 17 more,501-1k Employees (Global),
20,Manya Education,3.6,(66 Reviews),Private,"Delhi/NCR,Delhi + 6 more",20 years old,201-500 Employees (India)
21,L T Metro Rail,4.4,(66 Reviews),Hyderabad + 3 more,12 years old,501-1k Employees (India),
22,Ashwini Hospital,3.9,(66 Reviews),Private,Cuttack + 11 more,35 years old,
23,Tarachandra Engi...,3.6,(66 Reviews),Vadodara + 6 more,24 years old,51-200 Employees (India),
24,SAL STEEL,3.5,(66 Reviews),Public,"Gurgaon/Gurugram,Haryana + 3 more",19 years old,201-500 Employees (India)
25,Jubilant Motorwo...,3.7,(66 Reviews),Bengaluru + 8 more,13 years old,201-500 Employees (India),
26,DWD Pharmaceutic...,3.7,(66 Reviews),Mumbai + 11 more,41 years old,501-1k Employees (India),
27,Life Care Hospit...,4.3,(66 Reviews),Private,"Nairobi,Nairobi + 21 more",38 years old,501-1k Employees (Global)
28,Karle Infra,3.7,(66 Reviews),Private,"Bangalore/Bengaluru,Karnataka",11 years old,201-500 Employees (India)
29,Krishna Beads In...,3.2,(66 Reviews),Mumbai + 3 more,42 years old,51-200 Employees (India),
0,Fresh & Honest C...,4.0,(66 Reviews),Chennai + 8 more,25 years old,201-500 Employees (India),
1,INFAC,3.3,(66 Reviews),Private,Songpa-gu + 2 more,53 years old,
2,Kintetsu World E...,4.1,(66 Reviews),Private,Tokyo + 16 more,25 years old,201-500 Employees (India)
3,Rotary Engineeri...,4.5,(66 Reviews),Singapore + 6 more,50 years old,5k-10k Employees (Global),
4,Ambuja Realty,4.0,(66 Reviews),Private,Kolkata + 7 more,17 years old,1k-5k Employees (India)
5,Swastik Enterpri...,3.5,(66 Reviews),Private,Kolkata + 16 more,27 years old,11-50 Employees (India)
6,Dr. Sulaiman Al ...,3.9,(66 Reviews),Riyadh + 7 more,27 years old,,
7,Alliance India,4.1,(66 Reviews),Private,"New York City,New York + 13 more",23 years old,51-200 Employees (India)
8,Siesta Hospitali...,3.4,(66 Reviews),Private,"Bengaluru,Karnataka + 6 more",16 years old,1k-5k Employees (India)
9,BSC-C&C JV,4.2,(66 Reviews),Hyderabad + 10 more,50 years old,,
10,Gera Development...,4.1,(66 Reviews),Private,"Pune,Maharashtra + 1 more",52 years old,201-500 Employees (India)
11,AAK KAMANI,4.3,(66 Reviews),Mumbai + 8 more,60 years old,51-200 Employees (India),
12,LG Service,4.3,(66 Reviews),Private,Huntsville + 36 more,1 Lakh+ Employees (India),
13,Air Force School,4.2,(66 Reviews),Private,"Delhi/NCR,Delhi + 17 more",67 years old,10k-50k Employees (Global)
14,Garments India,4.6,(66 Reviews),Private,Jaipur + 20 more,44 years old,501-1k Employees (Global)
15,Deshpande Founda...,4.2,(66 Reviews),NGO/NPO,"Stoneham,Massachusetts + 7 more",26 years old,201-500 Employees (India)
16,Services & Trade...,3.7,(66 Reviews),LLC,Muscat + 3 more,45 years old,201-500 Employees (India)
17,SKS POWER GENERA...,3.5,(66 Reviews),Public,Mumbai + 11 more,14 years old,201-500 Employees (India)
18,Shri Mahavir fer...,4.3,(66 Reviews),Private,Rourkela + 2 more,26 years old,51-200 Employees (India)
19,VGM Consultants,3.9,(66 Reviews),Private,"Kolkata,West Bengal + 15 more",8 years old,501-1k Employees (India)
20,Being human,4.1,(66 Reviews),Private,Mumbai + 19 more,15 years old,51-200 Employees (India)
21,iServices,3.5,(66 Reviews),Private,"Bangalore,Karnataka + 3 more",11 years old,11-50 Employees (India)
22,CADS Software,4.1,(66 Reviews),Private,"Chennai,Tamil Nadu + 2 more",26 years old,201-500 Employees (India)
23,Homeward,4.1,(66 Reviews),Private,"Austin,Texas + 1 more",14 years old,11-50 Employees (India)
24,Press Fit Pipe A...,4.1,(66 Reviews),Partnership,"Bhiwandi,Maharashtra + 10 more",43 years old,501-1k Employees (India)
25,Destek Infosolut...,4.4,(66 Reviews),Private,"Pune,Maharashtra",6 years old,51-200 Employees (India)
26,Eqic Dies & Moul...,4.0,(66 Reviews),Private,Hyderabad,34 years old,201-500 Employees (India)
27,Seco Komos Autom...,4.0,(66 Reviews),Private,Hwaseong-si + 3 more,55 years old,201-500 Employees (Global)
28,Epicu Agro Produ...,4.0,(66 Reviews),Private,Delhi + 12 more,201-500 Employees (India),
29,Cynoteck Technol...,4.8,(66 Reviews),LLC,"Dehradun,Uttarakhand",14 years old,51-200 Employees (India)
0,Airtel Business,4.0,(66 Reviews),Gurgaon/Gurugram + 27 more,,,
1,Bansal Classes,3.7,(66 Reviews),Kota + 24 more,38 years old,201-500 Employees (India),
2,Rhydburg Pharmac...,3.4,(66 Reviews),Public,"Delhi/NCR,Delhi + 2 more",35 years old,51-200 Employees (India)
3,Jasubhai Enginee...,3.7,(66 Reviews),Private,Mumbai + 8 more,55 years old,51-200 Employees (India)
4,Ars Traffic And ...,3.3,(66 Reviews),Nassaulaan + 9 more,25 years old,51-200 Employees (India),
5,Jumbo Finvest In...,4.3,(66 Reviews),Private,Jaipur + 17 more,24 years old,501-1k Employees (India)
6,Tata Motors Insu...,3.7,(66 Reviews),Private,Mumbai + 28 more,14 years old,201-500 Employees (India)
7,Ascent Hr,3.6,(66 Reviews),Bengaluru + 3 more,20 years old,501-1k Employees (Global),
8,Paperpedia,2.8,(66 Reviews),Private,"Noida,Uttar Pradesh + 5 more",7 years old,51-200 Employees (India)
9,Hitachi Astemo R...,4.1,(66 Reviews),Neemrana + 3 more,201-500 Employees (India),,
10,AVYAIT,3.8,(66 Reviews),"Hyderabad,Telangana",2 years old,51-200 Employees (India),
11,Ola cars,3.3,(66 Reviews),Guwahati + 19 more,501-1k Employees (India),,
12,Transaction Solu...,4.0,(66 Reviews),Private,New Delhi + 6 more,17 years old,51-200 Employees (India)
13,Zebra Technologi...,4.2,(66 Reviews),Private,"Lincolnshire,Illinois + 7 more",53 years old,51-200 Employees (India)
14,ATPI,4.0,(66 Reviews),Private,London + 3 more,20 years old,51-200 Employees (India)
15,Bharat Parentera...,3.5,(66 Reviews),Public,"Vadodara/Baroda,Gujrat + 5 more",30 years old,51-200 Employees (India)
16,Equifax,3.8,(73 Reviews),Public,"Atlanta,Georgia + 5 more",12 years old,201-500 Employees (India)
17,Careers360,3.3,(67 Reviews),Private,"Delhi,NCT + 1 more",14 years old,201-500 Employees (India)
18,Facebook,4.3,(65 Reviews),Private,"Menlo Park,California + 11 more",18 years old,1k-5k Employees (India)
19,WHSmith,3.9,(65 Reviews),Private,Swindon + 11 more,230 years old,201-500 Employees (India)
20,SCON Projects,4.4,(65 Reviews),Private,Pune + 4 more,15 years old,51-200 Employees (India)
21,Shine,3.4,(65 Reviews),Private,Gurgaon + 15 more,14 years old,11-50 Employees (India)
22,Panzer Technolog...,4.8,(65 Reviews),Private,Hyderabad,16 years old,51-200 Employees (Global)
23,East African (I)...,3.0,(65 Reviews),Private,Dehradun + 2 more,42 years old,201-500 Employees (India)
24,B.P. Poddar Hosp...,3.7,(65 Reviews),Public,Kolkata,18 years old,201-500 Employees (India)
25,Blue Rose Techno...,3.7,(65 Reviews),Private,"Miami,Florida + 7 more",12 years old,1k-5k Employees (India)
26,Dudhsagar Dairy,4.6,(65 Reviews),Private,Mehsana + 5 more,62 years old,1k-5k Employees (Global)
27,Keys Hotels,4.6,(65 Reviews),Private,"Mumbai,Maharashtra + 15 more",16 years old,11-50 Employees (India)
28,Comnet Solutions,3.2,(65 Reviews),Private,"Delhi/NCR,Delhi + 10 more",28 years old,51-200 Employees (India)
29,ANSR Source,3.6,(65 Reviews),Private,"Dallas,Texas",19 years old,201-500 Employees (India)
0,IAP Company,3.1,(65 Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",24 years old,1k-5k Employees (Global)
1,Cloudtail India,4.1,(65 Reviews),Private,"Bengaluru,Karnataka + 3 more",8 years old,501-1k Employees (India)
2,CC India,4.0,(65 Reviews),Private,Bangalore + 14 more,55 years old,51-200 Employees (India)
3,Senvion,4.1,(65 Reviews),Private,"Hamburg,Hamburg + 8 more",5 years old,51-200 Employees (India)
4,SI Group,4.4,(65 Reviews),Private,Schenectady + 9 more,116 years old,1k-5k Employees (India)
5,MyGlamm,3.6,(65 Reviews),Mumbai + 16 more,7 years old,501-1k Employees (India),
6,Voltamp Transfor...,3.6,(65 Reviews),Public,"Vadodara/Baroda,Gujarat + 8 more",59 years old,501-1k Employees (India)
7,Gulf Ashley Moto...,4.1,(65 Reviews),Private,Jharkhand + 13 more,18 years old,1k-5k Employees (India)
8,Brickwork India,4.0,(65 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",17 years old,201-500 Employees (India)
9,Soffit Infrastru...,4.4,(65 Reviews),Kochi + 1 more,15 years old,51-200 Employees (India),
10,bgr Mining infra...,4.5,(65 Reviews),Private,Hyderabad + 8 more,34 years old,201-500 Employees (India)
11,Empire Spices & ...,4.6,(65 Reviews),Private,"Nasik/Nashik,Maharashtra + 10 more",28 years old,501-1k Employees (India)
12,Spinks Softech,4.1,(65 Reviews),Private,Gurgaon + 3 more,34 years old,
13,Pran Beverages I...,3.6,(65 Reviews),Private,Dhaka + 16 more,41 years old,1k-5k Employees (India)
14,International SO...,3.2,(65 Reviews),Private,Singapore + 9 more,22 years old,201-500 Employees (India)
15,IKF Technologies,3.9,(65 Reviews),Public,"Kolkata,West Bengal",22 years old,51-200 Employees (India)
16,Acma Computers,3.6,(65 Reviews),Private,Mumbai + 7 more,30 years old,51-200 Employees (India)
17,JP Group,4.0,(65 Reviews),Private,Hosur + 15 more,12 years old,51-200 Employees (India)
18,MAP Systems,3.4,(65 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",29 years old,51-200 Employees (India)
19,TUV Rheinland Gr...,4.1,(65 Reviews),Cologne + 18 more,150 years old,10k-50k Employees (Global),
20,Jaya Hind Montup...,4.1,(65 Reviews),Private,Pune + 2 more,9 years old,1k-5k Employees (India)
21,Concentric,4.0,(65 Reviews),Private,Gurgaon/Gurugram + 12 more,1 Lakh+ Employees (India),
22,North West Carry...,4.3,(65 Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",24 years old,10k-50k Employees (India)
23,Weather Risk Man...,3.7,(65 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",18 years old,201-500 Employees (India)
24,Skanray Technolo...,3.8,(65 Reviews),Private,"Mysore,Karnataka + 10 more",15 years old,201-500 Employees (India)
25,G Plast,3.5,(65 Reviews),Private,Coimbatore,38 years old,51-200 Employees (India)
26,Medfin India,4.1,(65 Reviews),"Bangalore,Karnataka + 3 more",6 years old,51-200 Employees (India),
27,Surat Goods Tran...,4.2,(65 Reviews),Private,Mumbai + 22 more,59 years old,1k-5k Employees (India)
28,Al Adrak Trading...,3.8,(65 Reviews),Muscat + 11 more,32 years old,1k-5k Employees (India),
29,BBNL,4.5,(65 Reviews),Public,New Delhi + 33 more,10 years old,1k-5k Employees (India)
0,PETROJET,3.7,(65 Reviews),Private,Cairo + 10 more,47 years old,10k-50k Employees (Global)
1,SATTRIX Informat...,3.1,(65 Reviews),Private,Ahmedabad + 7 more,9 years old,51-200 Employees (India)
2,Daramic Battery ...,3.6,(65 Reviews),Charlotte + 5 more,92 years old,51-200 Employees (India),
3,Solverminds Solu...,3.7,(65 Reviews),Private,"Chennai,Tamil Nadu",19 years old,501-1k Employees (India)
4,SKYMAP PHARMACEU...,3.7,(65 Reviews),Faridabad + 1 more,15 years old,51-200 Employees (India),
5,Saveetha Univers...,4.4,(65 Reviews),Private,Chennai + 10 more,34 years old,201-500 Employees (India)
6,CC India,4.0,(65 Reviews),Private,Bangalore + 14 more,55 years old,51-200 Employees (India)
7,Senvion,4.1,(65 Reviews),Private,"Hamburg,Hamburg + 8 more",5 years old,51-200 Employees (India)
8,Cloudtail India,4.1,(65 Reviews),Private,"Bengaluru,Karnataka + 3 more",8 years old,501-1k Employees (India)
9,MyGlamm,3.6,(65 Reviews),Mumbai + 16 more,7 years old,501-1k Employees (India),
10,Simhapuri Energy,3.7,(65 Reviews),Public,Hyderabad + 2 more,17 years old,201-500 Employees (India)
11,Voltamp Transfor...,3.6,(65 Reviews),Public,"Vadodara/Baroda,Gujarat + 8 more",59 years old,501-1k Employees (India)
12,JP Group,4.0,(65 Reviews),Private,Hosur + 15 more,12 years old,51-200 Employees (India)
13,Rivulis Irrigati...,4.2,(65 Reviews),"Mumbai,Maharashtra + 21 more",56 years old,501-1k Employees (India),
14,G Plast,3.5,(65 Reviews),Private,Coimbatore,38 years old,51-200 Employees (India)
15,Nutek,3.8,(65 Reviews),Public,Gurgaon + 19 more,30 years old,11-50 Employees (India)
16,Al Adrak Trading...,3.8,(65 Reviews),Muscat + 11 more,32 years old,1k-5k Employees (India),
17,Shubham Flexible...,4.1,(65 Reviews),Faridabad + 1 more,20 years old,201-500 Employees (India),
18,Shrachi Group,3.4,(65 Reviews),Private,Kolkata + 8 more,56 years old,51-200 Employees (India)
19,SCON Projects,4.4,(65 Reviews),Private,Pune + 4 more,15 years old,51-200 Employees (India)
20,B.P. Poddar Hosp...,3.7,(65 Reviews),Public,Kolkata,18 years old,201-500 Employees (India)
21,Facebook,4.3,(65 Reviews),Private,"Menlo Park,California + 11 more",18 years old,1k-5k Employees (India)
22,Acma Computers,3.6,(65 Reviews),Private,Mumbai + 7 more,30 years old,51-200 Employees (India)
23,Gulf Ashley Moto...,4.1,(65 Reviews),Private,Jharkhand + 13 more,18 years old,1k-5k Employees (India)
24,East African (I)...,3.0,(65 Reviews),Private,Dehradun + 2 more,42 years old,201-500 Employees (India)
25,ANSR Source,3.6,(65 Reviews),Private,"Dallas,Texas",19 years old,201-500 Employees (India)
26,IAP Company,3.1,(65 Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",24 years old,1k-5k Employees (Global)
27,SI Group,4.4,(65 Reviews),Private,Schenectady + 9 more,116 years old,1k-5k Employees (India)
28,Blue Rose Techno...,3.7,(65 Reviews),Private,"Miami,Florida + 7 more",12 years old,1k-5k Employees (India)
29,IKF Technologies,3.9,(65 Reviews),Public,"Kolkata,West Bengal",22 years old,51-200 Employees (India)
0,Al Gihaz Holding,4.4,(65 Reviews),Private,Riyadh + 5 more,47 years old,1k-5k Employees (Global)
1,PMJ Gems & Jewel...,3.5,(65 Reviews),Hyderabad + 9 more,58 years old,51-200 Employees (India),
2,PETROJET,3.7,(65 Reviews),Private,Cairo + 10 more,47 years old,10k-50k Employees (Global)
3,Okinawa Autotech,3.6,(65 Reviews),Private,"Gurgaon,Haryana + 6 more",6 years old,51-200 Employees (India)
4,VOLTECH O AND M ...,4.1,(65 Reviews),Chennai + 11 more,13 years old,11-50 Employees (India),
5,TGB Banquets and...,3.9,(65 Reviews),Public,"Ahmedabad,Gujarat + 5 more",33 years old,201-500 Employees (India)
6,Gj Solutions,3.7,(65 Reviews),Private,Hyderabad + 2 more,12 years old,201-500 Employees (Global)
7,Student Life,3.8,(65 Reviews),"Kolkata,West Bengal + 21 more",4 years old,1 Lakh+ Employees (India),
8,Daramic Battery ...,3.6,(65 Reviews),Charlotte + 5 more,92 years old,51-200 Employees (India),
9,Feedback Power O...,4.0,(65 Reviews),Private,Hyderabad + 7 more,11 years old,51-200 Employees (India)
10,SATTRIX Informat...,3.1,(65 Reviews),Private,Ahmedabad + 7 more,9 years old,51-200 Employees (India)
11,Shriram Fertiliz...,4.4,(65 Reviews),New Delhi + 19 more,32 years old,5k-10k Employees (Global),
12,B5 Plus,3.3,(65 Reviews),Public,Tema + 3 more,20 years old,1k-5k Employees (India)
13,JUD Cement,3.2,(65 Reviews),Private,Guwahati + 2 more,17 years old,201-500 Employees (India)
14,Mouser Electroni...,4.3,(65 Reviews),"Mansfield,Texas + 1 more",58 years old,201-500 Employees (India),
15,GUS Education,3.3,(65 Reviews),"Hyderabad/Secunderabad,Telangana + 1 more",5 years old,201-500 Employees (India),
16,Varsity Educatio...,4.0,(65 Reviews),"Hyderabad,Telangana + 11 more",11 years old,5k-10k Employees (India),
17,M.B.A Consulting...,3.6,(65 Reviews),Private,Noida + 3 more,9 years old,501-1k Employees (India)
18,ZTT,3.7,(65 Reviews),Private,Nantong + 12 more,30 years old,51-200 Employees (India)
19,SKYMAP PHARMACEU...,3.7,(65 Reviews),Faridabad + 1 more,15 years old,51-200 Employees (India),
20,Saveetha Univers...,4.4,(65 Reviews),Private,Chennai + 10 more,34 years old,201-500 Employees (India)
21,BugRaptors,4.9,(65 Reviews),Private,"Emeryville,California + 1 more",6 years old,51-200 Employees (India)
