,Unnamed: 0,name,rating,reviews,ctype,hq,old,employees
682,22.0,Mondelez Interna...,4.5,(983 Reviews),Private,"Greater Chicago Area,IL + 102 more",10 years old,1k-5k Employees (India)
683,23.0,Bharat Sanchar N...,4.0,(738 Reviews),Private,"Delhi/NCR,New Delhi + 175 more",22 years old,50k-1 Lakh Employees (India)
684,24.0,Johnson Lifts,4.1,(736 Reviews),Private,"Chennai,Tamil Nadu + 52 more",41 years old,1k-5k Employees (India)
685,25.0,Bajaj Motors,3.9,(735 Reviews),Private,Gurgaon + 54 more,36 years old,5k-10k Employees (India)
686,26.0,Fidelity Nationa...,4.1,(4.3k Reviews),Private,"Jacksonville,Florida + 6 more",175 years old,1k-5k Employees (India)
687,27.0,VVDN Technologie...,3.8,(732 Reviews),Private,Gurgaon + 22 more,15 years old,1k-5k Employees (India)
688,28.0,GAIL,4.3,(1.1k Reviews),Private,"Delhi/NCR,Delhi + 75 more",38 years old,1k-5k Employees (India)
689,29.0,NSH,3.5,(731 Reviews),Private,Al Jubail + 30 more,44 years old,501-1k Employees (India)
690,0.0,Oil And Natural ...,4.3,(1.8k Reviews),Public,"Delhi/NCR,Delhi + 60 more",66 years old,10k-50k Employees (India)
691,1.0,Spencer's Retail,4.1,(729 Reviews),Public,"Kolkata,West Bengal + 51 more",159 years old,1k-5k Employees (India)
692,2.0,Luminous Power T...,4.2,(728 Reviews),Private,"Gurgaon/Gurugram,Haryana + 91 more",34 years old,1k-5k Employees (India)
693,3.0,SLK Global Servi...,3.9,(728 Reviews),Private,"Dallas,Texas + 6 more",22 years old,51-200 Employees (India)
694,4.0,Piaggio,3.8,(728 Reviews),Private,Pontedera + 64 more,138 years old,1k-5k Employees (India)
695,5.0,Unichem Laborato...,4.0,(728 Reviews),Public,"Mumbai,Maharashtra + 59 more",78 years old,1k-5k Employees (India)
696,6.0,Sanofi,4.4,(952 Reviews),Public,Paris + 57 more,18 years old,5k-10k Employees (India)
697,7.0,BNP Paribas,4.0,(1.7k Reviews),Private,Paris + 17 more,174 years old,10k-50k Employees (India)
698,8.0,Apollo Pharmacy,3.9,(721 Reviews),Private,"Chennai,Tamil Nadu + 113 more",39 years old,10k-50k Employees (India)
699,9.0,Ab Inbev,3.8,(720 Reviews),Public,Leuven + 53 more,34 years old,1k-5k Employees (India)
700,10.0,Nuvoco Vistas,4.2,(1k Reviews),Private,Mumbai + 98 more,23 years old,1k-5k Employees (India)
701,11.0,Fresenius Kabi,4.1,(711 Reviews),Private,Pune + 49 more,110 years old,1 Lakh+ Employees (Global)
702,12.0,Apotex Research,4.5,(711 Reviews),Private,"Brantford,Ontario + 10 more",19 years old,1k-5k Employees (India)
703,13.0,Tata Capital,4.2,(1.9k Reviews),"Mumbai,Maharashtra + 116 more",15 years old,5k-10k Employees (India),
704,14.0,Evalueserve,3.7,(709 Reviews),Private,"Schaffhausen,Schaffhausen + 7 more",22 years old,1k-5k Employees (India)
705,15.0,Columbia Asia,4.3,(708 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 19 more",17 years old,1k-5k Employees (India)
706,16.0,BGR Energy Syste...,3.9,(712 Reviews),Public,"Nellore,Andhra Pradesh + 39 more",37 years old,1k-5k Employees (India)
707,17.0,Wind World,4.0,(704 Reviews),Private,Mumbai + 42 more,28 years old,5k-10k Employees (India)
708,18.0,Aye Finance,4.3,(701 Reviews),Private,"Delhi,NCT + 177 more",9 years old,1k-5k Employees (India)
709,19.0,Atul,4.0,(3.1k Reviews),Public,Valsad + 43 more,75 years old,1k-5k Employees (India)
710,20.0,Caterpillar Inc,4.3,(890 Reviews),Private,"Deerfield,Illinois + 27 more",97 years old,5k-10k Employees (India)
711,21.0,Annapurna Financ...,4.2,(699 Reviews),Private,"Bhubaneswar,Odisha + 182 more",13 years old,5k-10k Employees (India)
712,22.0,iSON Xperiences,3.5,(698 Reviews),Private,Lagos + 27 more,11 years old,5k-10k Employees (India)
713,23.0,Strides Pharma,4.0,(697 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 29 more",32 years old,201-500 Employees (India)
714,24.0,Lemon Tree Hotel...,4.2,(695 Reviews),Public,"Delhi/NCR,Delhi + 52 more",20 years old,1k-5k Employees (India)
715,25.0,Karvy Computersh...,3.6,(694 Reviews),Hyderabad/Secunderabad + 61 more,,,
716,26.0,ICICI Home Finan...,3.9,(693 Reviews),Private,"Mumbai,Maharashtra + 138 more",23 years old,1k-5k Employees (India)
717,27.0,Valeo,3.9,(691 Reviews),Private,Paris + 17 more,99 years old,5k-10k Employees (India)
718,28.0,Fortis Hospitals,4.1,(707 Reviews),Gurugram + 28 more,10k+ Employees (Global),,
719,29.0,Infinite Compute...,4.0,(690 Reviews),Public,Rockville + 21 more,21 years old,1k-5k Employees (India)
720,0.0,PNB Housing Fina...,4.0,(689 Reviews),Public,"Delhi/NCR,New Delhi + 95 more",34 years old,1k-5k Employees (India)
721,1.0,Burger King,3.9,(688 Reviews),Private,Miami + 56 more,8 years old,1k-5k Employees (India)
722,2.0,Tata Chemicals,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 73 more",84 years old,1k-5k Employees (India)
723,3.0,Karma Ayurveda,4.6,(687 Reviews),201-500 Employees (India),,,
724,4.0,Intertek,3.9,(692 Reviews),Private,London + 62 more,25 years old,1k-5k Employees (India)
725,5.0,Vestas,4.2,(686 Reviews),Private,"Aarhus,Central Denmark Region + 32 more",77 years old,1k-5k Employees (India)
726,6.0,Amneal Pharmaceu...,4.4,(819 Reviews),Private,"Bridgewater,New Jersey + 18 more",20 years old,1k-5k Employees (India)
727,7.0,Arthur J. Gallag...,4.0,(685 Reviews),Private,"Pune,Maharashtra + 6 more",20 years old,1k-5k Employees (India)
728,8.0,Polycab Wires,4.0,(685 Reviews),Private,"Mumbai,Maharashtra + 64 more",26 years old,1k-5k Employees (India)
729,9.0,Taurus BPO Serv...,4.9,(685 Reviews),LLP,"Pune,Indore + 7 more",7 years old,1k-5k Employees (India)
730,10.0,Kendriya Vidyala...,4.3,(684 Reviews),Public,"Delhi/NCR,Delhi + 164 more",59 years old,10k-50k Employees (India)
731,11.0,Vistaar Finance,4.4,(683 Reviews),Private,"Bangalore,Karnataka + 154 more",12 years old,1k-5k Employees (India)
732,12.0,Orion Edutech,3.2,(680 Reviews),Private,Kolkata + 96 more,16 years old,5k-10k Employees (India)
733,13.0,Technip,4.0,(679 Reviews),Private,Paris + 30 more,5 years old,1k-5k Employees (India)
734,14.0,V2 Retail,3.6,(1k Reviews),Public,"Delhi/NCR,Delhi + 71 more",21 years old,501-1k Employees (India)
735,15.0,TUV SUD,4.1,(677 Reviews),Private,Munich + 57 more,156 years old,1k-5k Employees (India)
736,16.0,Xiaomi,4.0,(677 Reviews),Private,"Haidian District,Beijing + 138 more",12 years old,1k-5k Employees (India)
737,17.0,Toppr,3.3,(677 Reviews),Private,"Mumbai,Maharashtra + 42 more",9 years old,501-1k Employees (India)
738,18.0,Siemens Gamesa R...,4.3,(676 Reviews),Private,"Zamudio,Vizcaya + 41 more",46 years old,1k-5k Employees (India)
739,19.0,DCM Shriram,4.2,(719 Reviews),Public,"Delhi/NCR,New Delhi + 60 more",32 years old,1k-5k Employees (India)
740,20.0,Bosch Chassis Sy...,4.2,(675 Reviews),Private,Gerlingen + 16 more,71 years old,1k-5k Employees (India)
741,21.0,Podar Internatio...,4.3,(675 Reviews),Private,"Mumbai,Maharashtra + 91 more",95 years old,5k-10k Employees (India)
742,22.0,Medhaj Techno Co...,4.2,(673 Reviews),Private,"Lucknow,Uttar Pradesh + 93 more",15 years old,1k-5k Employees (India)
743,23.0,Feedback Infrast...,3.9,(920 Reviews),Private,"Gurgaon/Gurugram,Haryana + 100 more",32 years old,5k-10k Employees (India)
744,24.0,Continental Auto...,4.2,(670 Reviews),Private,"Lower Saxony,Hanover + 12 more",151 years old,5k-10k Employees (India)
745,25.0,Mando Automotive,4.0,(669 Reviews),Private,"Kanchipuram,Tamil Nadu + 16 more",16 years old,1k-5k Employees (India)
746,26.0,Kyndryl,4.0,(669 Reviews),"New York,New York + 16 more",1 years old,50k-1 Lakh Employees (India),
747,27.0,Godrej Consumer ...,4.2,(657 Reviews),Public,Mumbai + 86 more,21 years old,10k-50k Employees (India)
748,28.0,Vibgyor High Sch...,3.8,(657 Reviews),Private,Mumbai + 19 more,18 years old,1k-5k Employees (India)
749,29.0,Ceasefire Indust...,3.3,(657 Reviews),Private,Noida + 64 more,20 years old,1k-5k Employees (India)
750,0.0,Coca-Cola Compan...,4.4,(3k Reviews),Private,Atlanta + 133 more,136 years old,5k-10k Employees (India)
751,1.0,GAMMON INDIA,4.0,(1.2k Reviews),Public,"Mumbai,Maharashtra + 65 more",100 years old,11-50 Employees (India)
752,2.0,Karvy Stock Brok...,3.5,(655 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 98 more",32 years old,1k-5k Employees (India)
753,3.0,Supreme Industri...,4.1,(716 Reviews),Public,Mumbai + 57 more,80 years old,5k-10k Employees (India)
754,4.0,JK Lakshmi Cemen...,4.2,(695 Reviews),Public,"Delhi/NCR,New Delhi + 96 more",40 years old,1k-5k Employees (India)
755,5.0,Tenneco,3.8,(653 Reviews),Private,"Lake Forest,Illinois + 25 more",82 years old,1k-5k Employees (India)
756,6.0,Pine Labs,4.1,(653 Reviews),Private,"Noida,Uttar Pradesh + 58 more",24 years old,1k-5k Employees (India)
757,7.0,Credit Suisse,3.9,(653 Reviews),Private,Zurich + 6 more,166 years old,1k-5k Employees (India)
758,8.0,ManpowerGroup,4.1,(651 Reviews),Private,"Milwaukee,Wisconsin + 88 more",25 years old,501-1k Employees (India)
759,9.0,Jindal X,3.3,(651 Reviews),Public,"New Delhi,Delhi + 11 more",24 years old,501-1k Employees (India)
